Sweep Start (s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, 
0.0039, -78.88794, -74.76807, -75.3479, -75.37842, -75.46997, -75.77515, -75.68359, -75.40894, -75.65308, -75.62256, -75.56152, -75.80566, -75.53101, -75.80566, -75.74463, -75.50049, -75.3479, -75.19531, -75.3479, -75.50049, 
0.004, -79.07104, -75.10376, -75.16479, -75.16479, -75.65308, -75.71411, -75.74463, -75.56152, -75.74463, -75.37842, -75.77515, -75.53101, -75.68359, -75.22583, -75.77515, -75.59204, -75.3479, -75.37842, -75.25635, -75.46997, 
0.0041, -78.91846, -74.92065, -75.50049, -75.43945, -75.3479, -75.53101, -75.65308, -75.65308, -75.74463, -75.56152, -75.62256, -75.59204, -75.62256, -75.62256, -75.46997, -75.74463, -75.31738, -75.56152, -75.3479, -75.3479, 
0.0042, -78.97949, -74.67651, -75.46997, -75.19531, -75.59204, -75.68359, -75.62256, -75.50049, -75.77515, -75.80566, -75.59204, -75.62256, -75.56152, -75.68359, -75.59204, -75.3479, -75.28687, -75.37842, -75.53101, -75.37842, 
0.0043, -78.91846, -75.07324, -75.46997, -75.25635, -75.3479, -75.77515, -75.74463, -75.56152, -75.65308, -75.59204, -75.59204, -75.80566, -75.74463, -75.53101, -75.68359, -75.3479, -75.25635, -75.40894, -75.37842, -75.65308, 
0.0044, -79.01001, -74.8291, -75.43945, -75.13428, -75.16479, -75.62256, -75.71411, -75.83618, -75.65308, -75.46997, -75.53101, -75.43945, -75.65308, -75.77515, -75.59204, -75.62256, -75.43945, -75.43945, -75.53101, -75.65308, 
0.0045, -78.88794, -74.85962, -75.50049, -75.43945, -75.37842, -75.43945, -75.43945, -75.77515, -76.01929, -75.62256, -75.31738, -75.56152, -75.71411, -75.68359, -75.68359, -75.37842, -75.40894, -75.16479, -75.40894, -75.31738, 
0.0046, -79.1626, -74.92065, -75.43945, -75.28687, -75.46997, -75.68359, -75.50049, -75.59204, -75.92773, -75.59204, -75.50049, -75.19531, -75.19531, -75.59204, -75.80566, -75.62256, -75.16479, -75.53101, -75.43945, -75.65308, 
0.0047, -79.01001, -75.16479, -75.43945, -75.25635, -75.62256, -75.62256, -75.59204, -75.77515, -75.43945, -75.8667, -75.83618, -75.46997, -75.37842, -75.46997, -75.31738, -75.25635, -75.43945, -75.43945, -75.50049, -75.3479, 
0.0048, -79.13208, -74.73755, -75.68359, -75.10376, -75.22583, -75.65308, -75.65308, -75.46997, -75.62256, -75.37842, -75.50049, -75.50049, -75.31738, -75.40894, -75.53101, -75.31738, -75.3479, -75.28687, -75.31738, -75.53101, 
0.0049, -78.70483, -75.04272, -75.31738, -75.56152, -75.22583, -75.07324, -75.43945, -75.71411, -75.80566, -75.56152, -75.50049, -75.59204, -75.53101, -75.25635, -75.74463, -75.59204, -75.3479, -75.31738, -75.43945, -75.3479, 
0.005, -78.79639, -74.58496, -75.65308, -75.19531, -75.3479, -75.40894, -75.43945, -75.62256, -75.8667, -75.59204, -75.62256, -75.43945, -75.50049, -75.37842, -75.40894, -75.8667, -75.40894, -75.56152, -75.40894, -75.25635, 
0.0051, -78.79639, -74.85962, -75.37842, -75.37842, -75.46997, -75.56152, -75.59204, -75.50049, -75.65308, -75.68359, -75.40894, -75.56152, -75.59204, -75.68359, -75.59204, -75.40894, -75.59204, -75.40894, -75.40894, -75.53101, 
0.0052, -79.1626, -74.95117, -75.22583, -75.22583, -75.56152, -75.62256, -75.59204, -75.59204, -75.65308, -75.50049, -75.46997, -75.28687, -75.65308, -75.56152, -75.65308, -75.59204, -75.22583, -75.43945, -75.56152, -75.59204, 
0.0053, -78.97949, -74.8291, -75.31738, -75.25635, -75.50049, -75.43945, -75.62256, -75.46997, -75.8667, -75.25635, -75.53101, -75.19531, -75.59204, -75.31738, -75.65308, -75.40894, -75.46997, -75.56152, -75.37842, -75.46997, 
0.0054, -79.01001, -74.76807, -75.59204, -75.25635, -75.28687, -75.65308, -75.37842, -75.59204, -75.71411, -75.68359, -75.40894, -75.68359, -75.40894, -75.31738, -75.43945, -75.71411, -75.31738, -75.40894, -75.65308, -75.59204, 
0.0055, -79.10156, -74.92065, -75.40894, -75.50049, -75.37842, -75.43945, -75.68359, -75.59204, -75.74463, -75.53101, -75.65308, -75.56152, -75.43945, -75.31738, -75.59204, -75.31738, -75.3479, -75.3479, -75.40894, -75.62256, 
0.0056, -79.13208, -74.98169, -75.62256, -75.3479, -75.46997, -75.31738, -75.53101, -75.62256, -75.65308, -75.59204, -75.50049, -75.71411, -75.3479, -75.68359, -75.28687, -75.59204, -74.98169, -75.3479, -75.43945, -75.50049, 
0.0057, -79.04053, -75.04272, -75.46997, -75.46997, -75.53101, -75.43945, -75.40894, -75.59204, -75.74463, -75.65308, -75.40894, -75.37842, -75.71411, -75.53101, -75.59204, -75.40894, -75.19531, -75.50049, -75.31738, -75.31738, 
0.0058, -78.73535, -74.95117, -75.68359, -75.28687, -75.40894, -75.56152, -75.28687, -75.43945, -75.71411, -75.62256, -75.74463, -75.46997, -75.40894, -75.65308, -75.59204, -75.53101, -75.25635, -75.43945, -75.71411, -75.22583, 
0.0059, -78.6438, -74.85962, -75.50049, -75.31738, -75.37842, -75.74463, -75.46997, -75.62256, -75.62256, -75.59204, -75.50049, -75.62256, -75.43945, -75.3479, -75.68359, -75.40894, -75.19531, -75.31738, -75.37842, -75.68359, 
0.006, -78.94897, -74.95117, -75.10376, -75.22583, -75.37842, -75.40894, -75.37842, -75.65308, -75.65308, -75.53101, -75.71411, -75.53101, -75.68359, -75.37842, -75.46997, -75.65308, -75.46997, -75.22583, -75.37842, -75.46997, 
0.0061, -78.76587, -74.92065, -75.53101, -75.22583, -75.37842, -75.3479, -75.31738, -75.40894, -75.50049, -75.40894, -75.31738, -75.68359, -75.43945, -75.59204, -75.50049, -75.53101, -75.19531, -75.65308, -75.31738, -75.43945, 
0.0062, -79.01001, -74.85962, -75.37842, -75.53101, -75.37842, -75.59204, -75.40894, -75.71411, -75.62256, -75.62256, -75.53101, -75.53101, -75.46997, -75.50049, -75.71411, -75.50049, -75.43945, -75.3479, -75.65308, -75.3479, 
0.0063, -78.49121, -75.19531, -75.56152, -75.22583, -75.3479, -75.65308, -75.56152, -75.37842, -75.77515, -75.59204, -75.25635, -75.65308, -75.62256, -75.31738, -75.37842, -75.56152, -75.13428, -75.46997, -75.43945, -75.65308, 
0.0064, -78.85742, -74.646, -75.37842, -75.25635, -75.04272, -75.50049, -75.62256, -75.62256, -75.68359, -75.71411, -75.53101, -75.40894, -75.62256, -75.62256, -75.53101, -75.46997, -75.28687, -75.28687, -75.43945, -75.31738, 
0.0065, -79.07104, -74.85962, -75.50049, -75.28687, -75.16479, -75.31738, -75.37842, -75.68359, -75.59204, -75.59204, -75.53101, -75.50049, -75.25635, -75.53101, -75.62256, -75.07324, -75.28687, -75.31738, -75.31738, -75.56152, 
0.0066, -78.94897, -75.04272, -75.25635, -75.53101, -75.31738, -75.46997, -75.25635, -75.50049, -75.37842, -75.56152, -75.46997, -75.71411, -75.53101, -75.65308, -75.53101, -75.50049, -75.37842, -75.46997, -75.28687, -75.37842, 
0.0067, -79.1626, -75.04272, -75.50049, -75.10376, -75.43945, -75.53101, -75.53101, -75.62256, -75.31738, -75.31738, -75.68359, -75.50049, -75.59204, -75.56152, -75.68359, -75.37842, -75.31738, -75.46997, -75.43945, -75.3479, 
0.0068, -78.70483, -75.04272, -75.37842, -75.25635, -75.10376, -75.53101, -75.56152, -75.3479, -75.62256, -74.95117, -75.50049, -75.43945, -75.53101, -75.56152, -75.37842, -75.68359, -75.22583, -75.25635, -75.65308, -75.50049, 
0.0069, -78.97949, -74.89014, -75.50049, -75.28687, -75.3479, -75.56152, -75.62256, -75.50049, -75.31738, -75.43945, -75.28687, -75.43945, -75.46997, -75.56152, -75.3479, -75.53101, -75.25635, -75.19531, -75.3479, -75.31738, 
0.007, -78.85742, -75.10376, -75.3479, -75.46997, -75.3479, -75.31738, -75.62256, -75.56152, -75.59204, -75.25635, -75.28687, -75.56152, -75.28687, -75.3479, -75.65308, -75.25635, -74.98169, -75.40894, -75.50049, -75.31738, 
0.0071, -78.97949, -74.89014, -75.65308, -75.25635, -75.53101, -75.43945, -75.40894, -75.71411, -75.46997, -75.31738, -75.16479, -75.43945, -75.43945, -75.71411, -75.25635, -75.25635, -74.95117, -75.28687, -75.50049, -75.46997, 
0.0072, -79.1626, -74.73755, -75.31738, -75.25635, -75.46997, -75.22583, -75.28687, -75.56152, -75.53101, -75.13428, -75.22583, -75.28687, -75.37842, -75.65308, -75.68359, -75.16479, -75.13428, -75.19531, -75.53101, -75.43945, 
0.0073, -78.76587, -75.07324, -75.46997, -75.16479, -75.71411, -75.65308, -75.56152, -75.56152, -75.59204, -75.50049, -75.19531, -75.31738, -75.50049, -75.16479, -75.68359, -75.71411, -75.31738, -75.04272, -75.40894, -75.59204, 
0.0074, -79.01001, -75.01221, -75.53101, -75.01221, -75.25635, -75.62256, -75.59204, -75.31738, -75.56152, -75.62256, -75.50049, -75.53101, -75.16479, -75.37842, -75.22583, -75.53101, -75.50049, -75.43945, -75.16479, -75.56152, 
0.0075, -79.22363, -75.04272, -75.40894, -75.25635, -75.28687, -75.59204, -75.50049, -75.53101, -75.25635, -75.68359, -75.43945, -75.56152, -75.46997, -75.28687, -75.50049, -75.28687, -75.43945, -75.43945, -75.56152, -75.13428, 
0.0076, -79.04053, -75.19531, -75.40894, -75.16479, -75.28687, -75.43945, -75.53101, -75.31738, -75.71411, -75.37842, -75.46997, -75.31738, -75.3479, -75.31738, -75.37842, -75.28687, -75.25635, -75.22583, -75.37842, -75.46997, 
0.0077, -78.76587, -75.04272, -75.65308, -75.22583, -75.59204, -75.37842, -75.37842, -75.56152, -75.37842, -75.62256, -75.46997, -75.56152, -75.43945, -75.07324, -75.37842, -75.46997, -74.92065, -75.37842, -75.43945, -75.43945, 
0.0078, -78.91846, -74.79858, -75.53101, -75.16479, -75.59204, -75.59204, -75.56152, -75.28687, -75.68359, -75.40894, -75.62256, -75.43945, -75.56152, -75.3479, -75.25635, -75.31738, -75.16479, -75.13428, -75.59204, -75.22583, 
0.0079, -79.13208, -75.07324, -75.25635, -75.37842, -75.56152, -75.53101, -75.71411, -75.31738, -75.43945, -75.65308, -75.37842, -75.46997, -75.19531, -75.53101, -75.50049, -75.40894, -75.22583, -75.19531, -75.01221, -75.59204, 
0.008, -78.94897, -75.07324, -75.50049, -75.28687, -75.65308, -75.3479, -75.62256, -75.53101, -75.74463, -75.40894, -75.62256, -75.65308, -75.50049, -75.25635, -75.40894, -75.65308, -75.40894, -75.16479, -75.40894, -75.31738, 
0.0081, -79.01001, -75.01221, -75.65308, -75.40894, -75.53101, -75.59204, -75.37842, -75.62256, -75.62256, -75.53101, -75.59204, -75.37842, -75.53101, -75.19531, -75.46997, -75.53101, -75.31738, -75.46997, -75.3479, -75.3479, 
0.0082, -79.19312, -75.22583, -75.3479, -75.37842, -75.68359, -75.71411, -75.59204, -75.50049, -75.50049, -75.71411, -75.56152, -75.59204, -75.04272, -75.56152, -75.40894, -75.37842, -75.19531, -75.43945, -75.59204, -75.40894, 
0.0083, -79.04053, -75.28687, -75.3479, -75.07324, -75.53101, -75.71411, -75.65308, -75.53101, -75.40894, -75.22583, -75.43945, -75.59204, -75.53101, -75.19531, -75.46997, -75.28687, -75.3479, -75.31738, -75.43945, -75.50049, 
0.0084, -79.01001, -74.95117, -75.50049, -75.19531, -75.3479, -75.40894, -75.28687, -75.62256, -75.40894, -75.28687, -75.46997, -75.10376, -75.3479, -75.50049, -75.46997, -75.3479, -75.10376, -75.31738, -75.10376, -75.28687, 
0.0085, -79.13208, -75.01221, -75.74463, -75.22583, -75.50049, -75.59204, -75.37842, -75.40894, -75.62256, -75.50049, -75.3479, -75.40894, -75.10376, -75.53101, -75.62256, -75.25635, -75.22583, -75.19531, -75.28687, -75.13428, 
0.0086, -79.04053, -75.19531, -75.40894, -75.56152, -75.28687, -75.50049, -75.56152, -75.37842, -75.43945, -75.65308, -75.3479, -75.53101, -75.25635, -75.3479, -75.46997, -75.43945, -75.37842, -75.28687, -75.25635, -75.56152, 
0.0087, -78.91846, -75.40894, -75.50049, -75.19531, -75.43945, -75.31738, -75.40894, -75.37842, -75.46997, -75.53101, -75.40894, -75.31738, -75.25635, -75.43945, -75.46997, -75.28687, -74.95117, -75.37842, -75.3479, -75.3479, 
0.0088, -79.22363, -75.19531, -75.77515, -75.22583, -75.43945, -75.65308, -75.53101, -75.43945, -75.53101, -75.53101, -75.22583, -75.31738, -74.89014, -75.59204, -75.59204, -75.59204, -75.10376, -75.19531, -75.50049, -75.16479, 
0.0089, -79.01001, -75.10376, -75.46997, -75.43945, -75.3479, -75.50049, -75.50049, -75.62256, -75.43945, -75.56152, -75.65308, -75.31738, -74.89014, -75.22583, -75.53101, -75.53101, -75.31738, -75.31738, -75.25635, -75.53101, 
0.009, -78.94897, -74.92065, -75.56152, -75.40894, -75.46997, -75.40894, -75.37842, -75.62256, -75.59204, -75.37842, -75.3479, -75.62256, -74.92065, -75.50049, -75.56152, -75.37842, -75.3479, -75.22583, -75.40894, -75.31738, 
0.0091, -78.91846, -75.01221, -75.43945, -75.3479, -75.56152, -75.46997, -75.56152, -75.31738, -75.37842, -75.56152, -75.53101, -75.31738, -75.01221, -75.3479, -75.62256, -75.43945, -75.19531, -75.16479, -75.46997, -75.31738, 
0.0092, -78.94897, -75.13428, -75.37842, -75.56152, -75.43945, -75.46997, -75.59204, -75.53101, -75.59204, -75.31738, -75.53101, -75.56152, -74.76807, -75.46997, -75.22583, -75.3479, -75.37842, -75.31738, -75.28687, -75.50049, 
0.0093, -79.01001, -75.31738, -75.50049, -75.25635, -75.53101, -75.46997, -75.71411, -75.50049, -75.56152, -75.46997, -75.40894, -75.3479, -74.92065, -75.25635, -75.59204, -75.43945, -75.28687, -75.43945, -75.01221, -75.31738, 
